--Reading network from /home/aydin/twitter/twitter_from06_to-06.induced.bin.remapped.bin.converted.balanced
Read in 4.469429s. Read 	526319	 vertices and 	65363924	 edges.
--calculating degrees on original graph
Calculated in 2.846695s.
--Generating starting verts
Generated starting verts in 7.228048s.
--Doing BFS
12464064.000000	: iteration  1: start=  219486, BFS took 	0.002881	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	22,687,534,582	, TEPS=	241,579,623	 (result discarded)
12464064.000000	: iteration 12: start=  208727, BFS took 	1.556003	s, covered 	696003	 edges, discovered 	78399	 verts, TEPS incl. filtered edges=	42,007,579	, TEPS=	447,301	 
12464064.000000	: iteration 13: start=   98032, BFS took 	0.003404	s, covered 	696003	 edges, discovered 	6	 verts, TEPS incl. filtered edges=	19,202,645,365	, TEPS=	204,472,099	 (result discarded)
12464064.000000	: iteration 14: start=  204164, BFS took 	0.002386	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	27,396,439,281	, TEPS=	291,720,612	 (result discarded)
12464064.000000	: iteration 15: start=  181875, BFS took 	0.060802	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	1,075,029,479	, TEPS=	11,447,044	 (result discarded)
12464064.000000	: iteration 16: start=  352500, BFS took 	0.002637	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	24,785,839,244	, TEPS=	263,922,626	 (result discarded)
12464064.000000	: iteration 17: start=  208826, BFS took 	0.002975	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	21,971,162,677	, TEPS=	233,951,608	 (result discarded)
12464064.000000	: iteration 18: start=  492391, BFS took 	0.005622	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	11,626,146,808	, TEPS=	123,796,622	 (result discarded)
12464064.000000	: iteration 19: start=  283589, BFS took 	0.001544	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	42,334,182,811	, TEPS=	450,779,519	 (result discarded)
12464064.000000	: iteration 20: start=  445429, BFS took 	0.004559	s, covered 	696003	 edges, discovered 	6	 verts, TEPS incl. filtered edges=	14,337,212,001	, TEPS=	152,664,374	 (result discarded)
12464064.000000	: iteration 21: start=  220630, BFS took 	0.003850	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	16,977,716,614	, TEPS=	180,780,788	 (result discarded)
12464064.000000	: iteration 22: start=  164881, BFS took 	0.001699	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	38,472,658,979	, TEPS=	409,661,544	 (result discarded)
12464064.000000	: iteration 23: start=  360644, BFS took 	0.002781	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	23,504,472,555	, TEPS=	250,278,477	 (result discarded)
12464064.000000	: iteration 24: start=  276079, BFS took 	0.003898	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	16,768,986,964	, TEPS=	178,558,209	 (result discarded)
12464064.000000	: iteration 25: start=  107607, BFS took 	0.001471	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	44,433,738,717	, TEPS=	473,135,845	 (result discarded)
12464064.000000	: iteration 26: start=  233397, BFS took 	0.003692	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	17,704,628,213	, TEPS=	188,521,031	 (result discarded)
12464064.000000	: iteration 27: start=  462169, BFS took 	0.001266	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	51,630,163,444	, TEPS=	549,764,249	 (result discarded)
12464064.000000	: iteration 28: start=  120830, BFS took 	0.004430	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	14,754,650,873	, TEPS=	157,109,314	 (result discarded)
12464064.000000	: iteration 29: start=   14414, BFS took 	0.001747	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	37,412,140,814	, TEPS=	398,369,018	 (result discarded)
12464064.000000	: iteration 30: start=  281272, BFS took 	0.001253	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	52,170,536,230	, TEPS=	555,518,204	 (result discarded)
12464064.000000	: iteration 31: start=  352879, BFS took 	0.003025	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	21,607,516,384	, TEPS=	230,079,458	 (result discarded)
12464064.000000	: iteration 32: start=  481035, BFS took 	0.003567	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	18,324,722,136	, TEPS=	195,123,866	 (result discarded)
12464064.000000	: iteration 33: start=  219635, BFS took 	0.002732	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	23,924,964,472	, TEPS=	254,755,926	 (result discarded)
12464064.000000	: iteration 34: start=  240635, BFS took 	0.004442	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	14,715,053,829	, TEPS=	156,687,680	 (result discarded)
12464064.000000	: iteration 35: start=  294049, BFS took 	0.001767	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	36,988,150,011	, TEPS=	393,854,312	 (result discarded)
12464064.000000	: iteration 36: start=  226684, BFS took 	1.600635	s, covered 	696003	 edges, discovered 	78420	 verts, TEPS incl. filtered edges=	40,836,244	, TEPS=	434,829	 
12464064.000000	: iteration 37: start=   73888, BFS took 	0.003839	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	17,026,218,351	, TEPS=	181,297,240	 (result discarded)
12464064.000000	: iteration 38: start=  494280, BFS took 	0.001373	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	47,613,089,247	, TEPS=	506,989,956	 (result discarded)
12464064.000000	: iteration 39: start=  104264, BFS took 	0.001490	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	43,872,006,383	, TEPS=	467,154,451	 (result discarded)
12464064.000000	: iteration 40: start=  409681, BFS took 	0.004310	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	15,166,021,346	, TEPS=	161,489,636	 (result discarded)
12464064.000000	: iteration 41: start=  421447, BFS took 	0.001539	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	42,471,908,270	, TEPS=	452,246,036	 (result discarded)
12464064.000000	: iteration 42: start=  376828, BFS took 	0.006918	s, covered 	696003	 edges, discovered 	16	 verts, TEPS incl. filtered edges=	9,448,448,024	, TEPS=	100,608,221	 (result discarded)
12464064.000000	: iteration 43: start=  509614, BFS took 	0.007020	s, covered 	696003	 edges, discovered 	8	 verts, TEPS incl. filtered edges=	9,311,104,737	, TEPS=	99,145,773	 (result discarded)
12464064.000000	: iteration 44: start=  422506, BFS took 	0.001302	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	50,202,557,752	, TEPS=	534,562,931	 (result discarded)
12464064.000000	: iteration 45: start=  164961, BFS took 	0.002558	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	25,552,816,468	, TEPS=	272,089,492	 (result discarded)
12464064.000000	: iteration 46: start=   48842, BFS took 	1.594430	s, covered 	696003	 edges, discovered 	78410	 verts, TEPS incl. filtered edges=	40,995,161	, TEPS=	436,521	 
12464064.000000	: iteration 47: start=  364382, BFS took 	0.001132	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	57,741,400,145	, TEPS=	614,837,440	 (result discarded)
12464064.000000	: iteration 48: start=  272713, BFS took 	1.559909	s, covered 	696003	 edges, discovered 	78398	 verts, TEPS incl. filtered edges=	41,902,399	, TEPS=	446,181	 
12464064.000000	: iteration 49: start=  461260, BFS took 	0.005059	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	12,920,315,183	, TEPS=	137,577,085	 (result discarded)
12464064.000000	: iteration 50: start=  455276, BFS took 	0.005032	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	12,990,105,088	, TEPS=	138,320,216	 (result discarded)
12464064.000000	: iteration 51: start=  470848, BFS took 	1.684674	s, covered 	696003	 edges, discovered 	78418	 verts, TEPS incl. filtered edges=	38,799,152	, TEPS=	413,138	 
12464064.000000	: iteration 52: start=  436395, BFS took 	0.001702	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	38,402,600,908	, TEPS=	408,915,557	 (result discarded)
12464064.000000	: iteration 53: start=   44760, BFS took 	0.005370	s, covered 	696003	 edges, discovered 	4	 verts, TEPS incl. filtered edges=	12,172,275,802	, TEPS=	129,611,870	 (result discarded)
12464064.000000	: iteration 54: start=  436636, BFS took 	0.002694	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	24,261,607,777	, TEPS=	258,340,545	 (result discarded)
12464064.000000	: iteration 55: start=   20555, BFS took 	1.599308	s, covered 	696003	 edges, discovered 	78397	 verts, TEPS incl. filtered edges=	40,870,128	, TEPS=	435,190	 
12464064.000000	: iteration 56: start=  143711, BFS took 	0.004867	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	13,429,811,300	, TEPS=	143,002,261	 (result discarded)
12464064.000000	: iteration 57: start=   89384, BFS took 	0.001392	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	46,952,589,122	, TEPS=	499,956,870	 (result discarded)
12464064.000000	: iteration 58: start=   31180, BFS took 	0.001485	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	44,012,870,105	, TEPS=	468,654,385	 (result discarded)
12464064.000000	: iteration 59: start=  462183, BFS took 	0.005635	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	11,599,584,002	, TEPS=	123,513,779	 (result discarded)
12464064.000000	: iteration 60: start=  352911, BFS took 	1.620015	s, covered 	696003	 edges, discovered 	78401	 verts, TEPS incl. filtered edges=	40,347,729	, TEPS=	429,627	 
12464064.000000	: iteration 61: start=   51761, BFS took 	0.001114	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	58,680,686,620	, TEPS=	624,839,076	 (result discarded)
12464064.000000	: iteration 62: start=  312141, BFS took 	0.003945	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	16,569,332,037	, TEPS=	176,432,259	 (result discarded)
12464064.000000	: iteration 63: start=  221636, BFS took 	1.556289	s, covered 	696003	 edges, discovered 	78400	 verts, TEPS incl. filtered edges=	41,999,863	, TEPS=	447,219	 
12464064.000000	: iteration 64: start=  353504, BFS took 	0.001171	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	55,813,552,094	, TEPS=	594,309,480	 (result discarded)
12464064.000000	: iteration 65: start=  504155, BFS took 	0.005031	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	12,991,951,847	, TEPS=	138,339,880	 (result discarded)
12464064.000000	: iteration 66: start=  216731, BFS took 	0.005145	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	12,704,767,036	, TEPS=	135,281,902	 (result discarded)
12464064.000000	: iteration 67: start=  280615, BFS took 	0.005009	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	13,049,462,986	, TEPS=	138,952,266	 (result discarded)
12464064.000000	: iteration 68: start=  103974, BFS took 	0.005163	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	12,660,178,614	, TEPS=	134,807,119	 (result discarded)
12464064.000000	: iteration 69: start=  364148, BFS took 	0.001584	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	41,269,933,447	, TEPS=	439,447,262	 (result discarded)
12464064.000000	: iteration 70: start=  152437, BFS took 	0.002581	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	25,326,204,885	, TEPS=	269,676,505	 (result discarded)
12464064.000000	: iteration 71: start=  166061, BFS took 	0.006904	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	9,467,372,328	, TEPS=	100,809,730	 (result discarded)
12464064.000000	: iteration 72: start=   74800, BFS took 	1.569508	s, covered 	696003	 edges, discovered 	78400	 verts, TEPS incl. filtered edges=	41,646,121	, TEPS=	443,452	 
12464064.000000	: iteration 73: start=  361318, BFS took 	0.005103	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	12,809,240,194	, TEPS=	136,394,345	 (result discarded)
12464064.000000	: iteration 74: start=  412273, BFS took 	0.003596	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	18,177,706,397	, TEPS=	193,558,425	 (result discarded)
12464064.000000	: iteration 75: start=  439279, BFS took 	0.003082	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	21,208,027,221	, TEPS=	225,825,649	 (result discarded)
12464064.000000	: iteration 76: start=  217127, BFS took 	1.602272	s, covered 	696003	 edges, discovered 	78398	 verts, TEPS incl. filtered edges=	40,794,523	, TEPS=	434,385	 
12464064.000000	: iteration 77: start=    9625, BFS took 	0.004904	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	13,328,609,455	, TEPS=	141,924,651	 (result discarded)
12464064.000000	: iteration 78: start=   17985, BFS took 	0.002517	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	25,969,135,918	, TEPS=	276,522,512	 (result discarded)
12464064.000000	: iteration 79: start=  394815, BFS took 	1.586825	s, covered 	696003	 edges, discovered 	78399	 verts, TEPS incl. filtered edges=	41,191,642	, TEPS=	438,613	 
12464064.000000	: iteration 80: start=  328438, BFS took 	0.004497	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	14,534,840,838	, TEPS=	154,768,750	 (result discarded)
12464064.000000	: iteration 81: start=  520456, BFS took 	0.001896	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	34,476,379,261	, TEPS=	367,108,672	 (result discarded)
12464064.000000	: iteration 82: start=  347705, BFS took 	0.002848	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	22,951,541,891	, TEPS=	244,390,805	 (result discarded)
12464064.000000	: iteration 83: start=  393773, BFS took 	0.005058	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	12,922,751,255	, TEPS=	137,603,024	 (result discarded)
12464064.000000	: iteration 84: start=  157103, BFS took 	0.002757	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	23,709,778,421	, TEPS=	252,464,599	 (result discarded)
12464064.000000	: iteration 85: start=  147603, BFS took 	0.001704	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	38,359,614,927	, TEPS=	408,457,837	 (result discarded)
12464064.000000	: iteration 86: start=  234809, BFS took 	2.606064	s, covered 	696003	 edges, discovered 	78399	 verts, TEPS incl. filtered edges=	25,081,474	, TEPS=	267,070	 
12464064.000000	: iteration 87: start=  415412, BFS took 	0.001143	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	57,187,352,500	, TEPS=	608,937,873	 (result discarded)
12464064.000000	: iteration 88: start=  116908, BFS took 	0.004168	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	15,682,196,996	, TEPS=	166,985,937	 (result discarded)
12464064.000000	: iteration 89: start=   54329, BFS took 	0.001749	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	37,371,342,405	, TEPS=	397,934,592	 (result discarded)
12464064.000000	: iteration 90: start=   38612, BFS took 	0.002795	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	23,386,178,272	, TEPS=	249,018,866	 (result discarded)
12464064.000000	: iteration 91: start=  235734, BFS took 	0.004036	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	16,195,425,796	, TEPS=	172,450,860	 (result discarded)
12464064.000000	: iteration 92: start=  246969, BFS took 	0.003077	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	21,242,535,866	, TEPS=	226,193,101	 (result discarded)
12464064.000000	: iteration 93: start=  478211, BFS took 	0.001306	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	50,055,900,655	, TEPS=	533,001,308	 (result discarded)
12464064.000000	: iteration 94: start=   50617, BFS took 	0.004031	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	16,215,541,958	, TEPS=	172,665,059	 (result discarded)
12464064.000000	: iteration 95: start=  154534, BFS took 	0.002911	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	22,453,412,603	, TEPS=	239,086,663	 (result discarded)
12464064.000000	: iteration 96: start=  475460, BFS took 	1.576527	s, covered 	696003	 edges, discovered 	78406	 verts, TEPS incl. filtered edges=	41,460,710	, TEPS=	441,478	 
12464064.000000	: iteration 97: start=  151461, BFS took 	0.003617	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	18,071,067,687	, TEPS=	192,422,923	 (result discarded)
12464064.000000	: iteration 98: start=   62890, BFS took 	0.001833	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	35,660,271,577	, TEPS=	379,714,902	 (result discarded)
12464064.000000	: iteration 99: start=   68436, BFS took 	0.002671	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	24,471,674,363	, TEPS=	260,577,360	 (result discarded)
12464064.000000	: iteration 100: start=  276211, BFS took 	0.005357	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	12,201,529,569	, TEPS=	129,923,368	 (result discarded)
12464064.000000	: iteration 101: start=   10193, BFS took 	0.001463	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	44,679,949,134	, TEPS=	475,757,523	 (result discarded)
12464064.000000	: iteration 102: start=   44012, BFS took 	1.610181	s, covered 	696003	 edges, discovered 	78403	 verts, TEPS incl. filtered edges=	40,594,150	, TEPS=	432,251	 
12464064.000000	: iteration 103: start=  357284, BFS took 	0.003805	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	17,178,781,119	, TEPS=	182,921,747	 (result discarded)
12464064.000000	: iteration 104: start=  482561, BFS took 	0.001586	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	41,214,096,194	, TEPS=	438,852,700	 (result discarded)
12464064.000000	: iteration 105: start=  111383, BFS took 	0.001887	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	34,641,921,643	, TEPS=	368,871,388	 (result discarded)
12464064.000000	: iteration 106: start=  479186, BFS took 	0.004522	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	14,454,376,964	, TEPS=	153,911,961	 (result discarded)
12464064.000000	: iteration 107: start=  139762, BFS took 	0.001755	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	37,244,418,949	, TEPS=	396,583,095	 (result discarded)
12464064.000000	: iteration 108: start=  157332, BFS took 	0.005124	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	12,756,196,160	, TEPS=	135,829,525	 (result discarded)
12464064.000000	: iteration 109: start=  258724, BFS took 	1.565118	s, covered 	696003	 edges, discovered 	78398	 verts, TEPS incl. filtered edges=	41,762,934	, TEPS=	444,696	 
12464064.000000	: iteration 110: start=  307575, BFS took 	0.003985	s, covered 	696003	 edges, discovered 	4	 verts, TEPS incl. filtered edges=	16,402,786,160	, TEPS=	174,658,858	 (result discarded)
12464064.000000	: iteration 111: start=   28085, BFS took 	0.008921	s, covered 	696003	 edges, discovered 	15	 verts, TEPS incl. filtered edges=	7,326,852,527	, TEPS=	78,017,215	 (result discarded)
12464064.000000	: iteration 112: start=  297850, BFS took 	0.001973	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	33,130,654,729	, TEPS=	352,779,234	 (result discarded)
12464064.000000	: iteration 113: start=  302169, BFS took 	0.002887	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	22,640,694,350	, TEPS=	241,080,862	 (result discarded)
12464064.000000	: iteration 114: start=  323127, BFS took 	0.003865	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	16,911,736,961	, TEPS=	180,078,228	 (result discarded)
12464064.000000	: iteration 115: start=   77226, BFS took 	0.011892	s, covered 	696003	 edges, discovered 	60	 verts, TEPS incl. filtered edges=	5,496,534,902	, TEPS=	58,527,771	 (result discarded)
12464064.000000	: iteration 116: start=  503442, BFS took 	0.002683	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	24,360,775,536	, TEPS=	259,396,496	 (result discarded)
12464064.000000	: iteration 117: start=  310162, BFS took 	0.003722	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	17,560,605,168	, TEPS=	186,987,456	 (result discarded)
12464064.000000	: iteration 118: start=  137358, BFS took 	0.003941	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	16,585,370,108	, TEPS=	176,603,034	 (result discarded)
12464064.000000	: iteration 119: start=  368296, BFS took 	0.002881	s, covered 	696003	 edges, discovered 	3	 verts, TEPS incl. filtered edges=	22,687,534,582	, TEPS=	241,579,623	 (result discarded)
12464064.000000	: iteration 120: start=  121587, BFS took 	0.007645	s, covered 	696003	 edges, discovered 	5	 verts, TEPS incl. filtered edges=	8,549,746,394	, TEPS=	91,038,737	 (result discarded)
12464064.000000	: iteration 121: start=   53860, BFS took 	0.002693	s, covered 	696003	 edges, discovered 	2	 verts, TEPS incl. filtered edges=	24,272,347,754	, TEPS=	258,454,906	 (result discarded)
12464064.000000	: iteration 122: start=  280764, BFS took 	0.001808	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	36,154,050,888	, TEPS=	384,972,724	 (result discarded)
12464064.000000	: iteration 123: start=  217925, BFS took 	0.003637	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	17,971,561,316	, TEPS=	191,363,367	 (result discarded)
12464064.000000	: iteration 124: start=  499970, BFS took 	0.001536	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	42,551,011,623	, TEPS=	453,088,338	 (result discarded)
12464064.000000	: iteration 125: start=  365475, BFS took 	0.001531	s, covered 	696003	 edges, discovered 	1	 verts, TEPS incl. filtered edges=	42,690,153,828	, TEPS=	454,569,941	 (result discarded)
12464064.000000	: iteration 126: start=  259506, BFS took 	1.577333	s, covered 	696003	 edges, discovered 	78404	 verts, TEPS incl. filtered edges=	41,439,521	, TEPS=	441,253	 

BFS execution times (PythonSR_PythonFilter_OTF)
            min_PythonSR_PythonFilter_OTFtime	12464064.000000	: 	1.55600309371948242e+00
  firstquartile_PythonSR_PythonFilter_OTFtime	12464064.000000	: 	1.56621557474136353e+00
         median_PythonSR_PythonFilter_OTFtime	12464064.000000	: 	1.59062755107879639e+00
  thirdquartile_PythonSR_PythonFilter_OTFtime	12464064.000000	: 	1.60820364952087402e+00
            max_PythonSR_PythonFilter_OTFtime	12464064.000000	: 	2.60606384277343750e+00
           mean_PythonSR_PythonFilter_OTFtime	12464064.000000	: 	1.65406817197799683e+00
         stddev_PythonSR_PythonFilter_OTFtime	12464064.000000	: 	2.55856748557987568e-01
          total_PythonSR_PythonFilter_OTFtime	12464064.000000	: 	2.646509e+01

number of edges traversed OTF
            min_PythonSR_PythonFilter_OTFnedge	12464064.000000	: 	6.96003000000000000e+05
  firstquartile_PythonSR_PythonFilter_OTFnedge	12464064.000000	: 	6.96003000000000000e+05
         median_PythonSR_PythonFilter_OTFnedge	12464064.000000	: 	6.96003000000000000e+05
  thirdquartile_PythonSR_PythonFilter_OTFnedge	12464064.000000	: 	6.96003000000000000e+05
            max_PythonSR_PythonFilter_OTFnedge	12464064.000000	: 	6.96003000000000000e+05
           mean_PythonSR_PythonFilter_OTFnedge	12464064.000000	: 	6.96003000000000000e+05
         stddev_PythonSR_PythonFilter_OTFnedge	12464064.000000	: 	0.00000000000000000e+00
          total_PythonSR_PythonFilter_OTFnedge	12464064.000000	: 	1.113605e+07

TEPS (PythonSR_PythonFilter_OTF)
            min_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	2.67070586904462194e+05
  firstquartile_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	4.32784842966618075e+05
         median_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	4.37567535782401275e+05
  thirdquartile_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	4.44385840022312012e+05
            max_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	4.47301809880254674e+05
  harmonic_mean_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	4.20782535926371987e+05
harmonic_stddev_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	1.66313468874304067e+03

TEPS including filtered edges (PythonSR_PythonFilter_OTF)
            min_IncFiltered_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	2.50814745698778033e+07
  firstquartile_IncFiltered_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	4.06442437518544570e+07
         median_IncFiltered_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	4.10934021171577722e+07
  thirdquartile_IncFiltered_PythonSR_PythonFilter_OTF_TEPS	12464064.000000	: 	4.17337314262935072e+07
